Sample	Total_Mutations	Non_Synonymous_Mutations	TMB_Total_Normalized	TMB_Non_Synonymous_Normalized
TCGA-AB-2810	14	11	0.231570	0.181948
TCGA-AB-2872	12	9	0.198488	0.148866
TCGA-AB-2845	6	6	0.099244	0.099244
TCGA-AB-2849	26	20	0.430058	0.330814
TCGA-AB-2914	18	14	0.297732	0.231570
TCGA-AB-2989	12	11	0.198488	0.181948
TCGA-AB-2928	10	9	0.165407	0.148866
TCGA-AB-2863	18	16	0.297732	0.264651
TCGA-AB-2955	19	12	0.314273	0.198488
TCGA-AB-2843	12	10	0.198488	0.165407
TCGA-AB-2993	12	11	0.198488	0.181948
TCGA-AB-2880	3	2	0.049622	0.033081
TCGA-AB-2940	4	3	0.066163	0.049622
TCGA-AB-2979	9	6	0.148866	0.099244
TCGA-AB-3000	5	3	0.082703	0.049622
TCGA-AB-3007	8	6	0.132326	0.099244
TCGA-AB-2867	11	9	0.181948	0.148866
TCGA-AB-2812	10	6	0.165407	0.099244
TCGA-AB-2983	14	11	0.231570	0.181948
TCGA-AB-2886	14	11	0.231570	0.181948
TCGA-AB-2860	11	8	0.181948	0.132326
TCGA-AB-2829	10	9	0.165407	0.148866
TCGA-AB-2871	15	14	0.248110	0.231570
TCGA-AB-2986	12	11	0.198488	0.181948
TCGA-AB-2946	3	1	0.049622	0.016541
TCGA-AB-2995	6	5	0.099244	0.082703
TCGA-AB-2918	2	1	0.033081	0.016541
TCGA-AB-2809	4	3	0.066163	0.049622
TCGA-AB-2824	5	5	0.082703	0.082703
TCGA-AB-2825	3	3	0.049622	0.049622
TCGA-AB-2873	2	2	0.033081	0.033081
TCGA-AB-2884	5	5	0.082703	0.082703
TCGA-AB-2896	3	3	0.049622	0.049622
TCGA-AB-2919	11	8	0.181948	0.132326
TCGA-AB-2947	3	3	0.049622	0.049622
TCGA-AB-2965	10	10	0.165407	0.165407
TCGA-AB-2967	11	10	0.181948	0.165407
TCGA-AB-2974	8	6	0.132326	0.099244
TCGA-AB-2975	2	2	0.033081	0.033081
TCGA-AB-2981	6	4	0.099244	0.066163
TCGA-AB-2987	7	7	0.115785	0.115785
TCGA-AB-2932	7	5	0.115785	0.082703
TCGA-AB-2877	20	18	0.330814	0.297732
TCGA-AB-2892	2	2	0.033081	0.033081
TCGA-AB-2957	2	2	0.033081	0.033081
TCGA-AB-2998	10	5	0.165407	0.082703
TCGA-AB-2823	1	1	0.016541	0.016541
TCGA-AB-2844	13	11	0.215029	0.181948
TCGA-AB-2982	2	1	0.033081	0.016541
TCGA-AB-2834	1	1	0.016541	0.016541
TCGA-AB-2836	3	3	0.049622	0.049622
TCGA-AB-2840	1	1	0.016541	0.016541
TCGA-AB-2879	5	5	0.082703	0.082703
TCGA-AB-2909	1	1	0.016541	0.016541
TCGA-AB-2942	1	1	0.016541	0.016541
TCGA-AB-3011	7	5	0.115785	0.082703
TCGA-AB-2835	3	3	0.049622	0.049622
TCGA-AB-2826	4	4	0.066163	0.066163
TCGA-AB-2850	6	6	0.099244	0.099244
TCGA-AB-2866	1	1	0.016541	0.016541
TCGA-AB-2948	2	2	0.033081	0.033081
TCGA-AB-2842	2	1	0.033081	0.016541
TCGA-AB-2883	1	1	0.016541	0.016541
TCGA-AB-2941	5	3	0.082703	0.049622
TCGA-AB-2954	1	1	0.016541	0.016541
TCGA-AB-2848	1	1	0.016541	0.016541
TCGA-AB-2855	4	4	0.066163	0.066163
TCGA-AB-2933	1	1	0.016541	0.016541
